,country,Covid_tests,Forms,Masks,Quarantine,Insurance,Vaccination
18,Belize,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
19,Benin,Not Required,Not required,Mask is required on public transport,Not required,Not required,Not required
20,Bhutan,Not required,Required,"Mask is required in all public indoor, public transport and certain outdoor areas",5 days may be required if a positive result is received from the on arrival random testing,Not required ,Not required 
21,Bolivia,Negative RT-PCR test certificate obtained within 72 hours prior to departure or a negative antigen test obtained within 48 hours prior to departure is required,Not required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Health insurance covering Covid-19 related expenses including costs for treatment required for non-resident passengers.,Not required
22,Bosnia and Herzegovina,Not Required,Not required,"Mask is required in all public indoor, public transport and certain outdoor areas",Not required,Not required,Not required
23,Botswana,Negative PCR test obtained within 72 hours prior to arrival required,Not required,"Mask is required in all public indoor, public transport and all outdoor areas",May be required if a positive test result is received on arrival,Not required,Not required
24,Brazil,"All travelers must have proof of a negative reverse transcription polymerase chain reaction (RT-PCR) test result issued no more than 72 hours prior to departure, or an antigen test result issued no more than 24 hours prior to departure.",All travelers must submit a Traveler's Health Declaration (DSV) form no more than 24 hours prior to departure.,Not required,Unvaccinated travelers must undergo a 14-day quarantine. Travelers can end quarantine early by undergoing testing for COVID-19.,Not required,"Travelers must carry proof they have completed a full vaccination regimen using a COVID-19 vaccine approved for emergency use by the World Health Organization (WHO), or must undergo quarantine."
25,Brunei Darussalam,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
26,Bulgaria,Not Required,Not required,Not required,Not required,Not required,Not required
27,Burkina Faso,Negative PCR test tested within 5 days prior to departure is required for unvaccinated passengers. Passengers not holding a negative PCR test certificate will be subject test upon arrival at their own cost.,Not required,Mask is required in all public indoor and outdoor areas,Not required,Not required,Not required
28,Burundi,Negative PCR test tested within 48 hours prior to departure and test on arrival required,Not required,Not required,24 hours in government provided accommodation required,Not required,Not required
29,Cambodia,Not required,Visa-on-arrival services are available for all international travelers.,Masks are required on public transporation as well as in indoor public venues and some outdoor public venues.,Unvaccinated travelers must undergo a 14-day quarantine.,Not required,Travelers who carry proof showing they are fully vaccinated with an approved vaccine for COVID-19 are exempt from quarantine requirements.
30,Cameroon,Negative PCR test obtained within 3 days between the date of sample collection and the date of departure,Not required,"Mask is required in all public indoor, public transport and all outdoor areas",May be required if passengers test positive for Covid-19 on arrival,Not required,Not required
31,Canada,"Unvaccinated travelers must have proof of a negative molecular test result for COVID-19 issued no more than 72 hours prior to departure, or a professionally administered antigen test result issued no more than 1 day prior to departure.",All travelers must submit their information online prior to departure using the ArriveCan mobile app.,Masks are strongly recommended in any crowded setting.,All travelers may be randomly selected to undergo testing-on-arrival. Unvaccinated travelers must undergo a 14-day quarantine.,Not required,Travelers fully vaccinated with an approved vaccine for COVID-19 are exempt from the ban on non-essential travel and from pre-departure testing and quarantine requirements.
32,Cape Verde,Negative PCR test certificate obtained within 72 hours prior to departure or a negative antigen (Ag-RDT) test certificate obtained within 48 hours prior to departure required,Required,Not required,May be required if a positive test result is received on arrival,Not required,Not required
33,Central African Republic,A negative RT-PCR test result tested within 72 hours prior to arrival is required.,Required,"Mask is required in all public indoor, public transport and all outdoor areas",Up to 14 days required,Not required,Not required
34,Chad,Negative PCR test tested within 96 hours prior to arrival is required ,Not required,"Mask is required in all public indoor, and public transport",Not required,Not required,Not required
35,Chile,Passengers aged 18 years and older must hold a negative PCR test result obtained within 48 hours prior to departure.,Required,"Mask is required in all public indoor, public transport and certain outdoor areas",May be required if a positive test result is received on arrival,Not required,Not required
36,Colombia,A negative PCR test result tested within 72 hours prior to departure or a negative antigen test result tested within 48 hours prior to departure required,Required,"Mask is required in all public indoor, public transport and certain outdoor areas",Not required,Not required,Not required
37,Cook Islands,Not required,Not required,Not required,Not required,Not required,Not required
38,Costa Rica,Not Required,Not required,Not required,Not required,Not required,Not required
39,Croatia,Not Required,Not required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Not required,Not required
40,Cuba,Not required,Required,Mask is required at the airport,Not required,Not required,Not required
41,Curacao,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
42,Cyprus,Not Required,Not required,"Mask is required in all public indoor, public transport and certain outdoor areas",Not required,Not required,Not required
43,Czech Republic,Not Required,Not required,Masks are required in certain public areas,Not required,Not required,Not required
44,Côte d'Ivoire,Negative PCR test within 72 hours prior to departure is required,Required,Mask is required in all public indoor and public transport,Not required,Not required,Not required
45,Democratic Republic of the Congo,Negative PCR test within 72 hours prior to arrival required,Required,"Mask is required in all public indoor, public transport and certain outdoor areas",Not required,Not required,Not required
46,Denmark,Not Required,Not required,Not required,Not required,Not required,Not required
47,Djibouti,Negative PCR test within 72 hours prior to arrival is required,Not required,"Mask is required in all public indoor, public transport and certain outdoor areas","Not required, may be required if a positive test result is received",Not required,Not required
48,Dominican Republic,Not required,Not required,Not required,Not required,Not required,Not required
49,Ecuador,Negative RT-PCR test obtained within 72 hours prior to departure required,Required,"Mask is required in all public indoor, public transport and all outdoor areas",Quarantine may be required if a positive result is received on arrival,Not required,Not required
50,Egypt,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
51,El Salvador,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
52,Equatorial Guinea,Negative PCR or antigen test within 48 hours prior to departure required,Not required,"Mask is required in all public indoor, public transport and certain outdoor areas",Not required,Not required,Required
53,Eritrea,Negative PCR test obtained within 72 hours prior to arrival is required,Not required,"Mask is required in all public indoor, public transport and certain outdoor areas",7 days on arrival required,Not required,Not required
54,Estonia,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
55,Eswatini,Negative PCR test certificate obtained within 72 hours prior to departure required,Required,Not required,Not required,Not required,Not required
56,Ethiopia,Negative PCR test within 72 hours prior to departure or negative antigen test within 24 hours prior to arrival is required,Not required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Not required,Not required
57,Fiji,Not required,Not required,Not required,Not required,Required,Required
58,Finland,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
59,France,Not required,Not required,Not required,Not required,Not required,Not required
60,Gabon,Not Required,Not required,Not required,Not required,Not required,Not required
61,Gambia,Negative PCR test within 72 hours prior to arrival is required,Not required,Not required,Not required,Not required,Not required
62,Georgia,Not Required,Not required,Mask is required on public transport and in certain indoor areas,Not required,Not required,Not required
63,Germany,Not required,Not required,"A FFP2, KN95 or surgical grade mask recommended in all public indoor, public transport and certain outdoor areas",Not required,Not required,Not required
64,Ghana,Negative RT-PCR digital test certificate tested within 48 hours prior to departure required,Required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Not required,Required
65,Greece,Not Required,Not required,"Mask is required in all public indoor, public transport and certain outdoor areas",Not required,Not required,Not required
66,Greenland,Not required,Not required,"Required
",Not required,Health Travel Insurance advised,Not required
67,Grenada,Not Required,Not required,Not required,Not required,Not required,Not required
68,Guatemala,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
69,Guinea,Negative RT-PCR test certificate obtained within 72 hours prior to departure required,Not required,"Mask is required in all public indoor, public transport and certain outdoor areas",Not required,Not required,Not required
70,Guinea-bissau,Negative PCR test tested within 72 hours prior to departure is required,Required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Not required,Not required
71,Guyana,Not required,Not required,Not required,Not required,Not required,Required
72,Haiti,Negative PCR or rapid antigen test tested within 72 hours prior to departure required,Not required,Mask is required in all public indoor areas,Not required,Not required,Not required
73,Hong Kong,All travelers permitted to enter must carry proof of a negative result for COVID-19 issued no more than 48 hours prior to departure using a PCR-based nucleic acid test.,All travelers must submit a Health &amp; Quarantine Information Declaration form prior to departure.,Masks are required during travel and in most public venues.,Not required,Not required,All travelers must carry a recognised vaccination record showing they have completed a full vaccination regimen using a COVID-19 vaccine  recognized by local authorities.
74,Hungary,Not Required,Not required,Not required,Not required,Not required,Not required
75,Iceland,Not Required,Not required,Not required,Not required,Not required,Not required
76,India,Travelers lacking proof of vaccination must have proof of a negative RT-PCR test result for COVID-19 issued no more than 72 hours prior to departure.,All travelers must use the online Air Suvidha Portal to submit a Self-Declaration Form (SDF) and their COVID-19 test results or vaccination certificate.,Required in most public locations.,Travelers will be randomly selected to undergo testing-on-arrival for COVID-19. Persons who test positive must self-isolate.,Not required,Travelers carrying accepted proof they have completed a full vaccination regimen using a WHO-approved COVID-19 vaccine are exempt from pre-departure testing requirements.
77,Indonesia,Unvaccinated travelers must have proof of a negative reverse transcription polymerase chain reaction (RT-PCR) test result for COVID-19 issued no more than 48 hours prior to departure.,Visa-free entry and visa-on-arrival services are available. All travelers must install and use the PeduliLindungi mobile application for contact tracing purposes.,Masks are required in most public spaces.,All travelers must undergo temperature screening upon arrival. Persons determined to have a high temperature must undergo an RT-PCR test and must self-isolate while awaiting their results. Unvaccinated travelers must undergo a 5-day quarantine.,"Foreign nationals traveling for tourism must have proof of medical insurance valid for use in Indonesia for the entire duration of their intended stay with a minimum coverage amount of at least US$25,000.",Travelers who carry proof they have completed a full vaccination regimen using a COVID-19 vaccine recognized by Indonesian authorities are exempt from pre-departure testing and quarantine requirements.
78,Iran,A negative PCR test certificate issued within 72 hours prior to departure required,Not required,Not required,Not required,Not required,Not required
79,Iraq,Negative PCR test obtained within 72 hours prior to departure required,Not required,Not required,Not required,Not required,Required
80,Ireland,Not Required,Not required,Not required,Not required,Not required,Not required
81,Israel,Not required,Required,Mask is required in some public indoor areas,Not required,Required,Not required
82,Italy,Not required,Not required,Not required,Not required,Not required,Not required
83,Jamaica,Not Required,Not required,Not required,Not required,Not required,Not required
84,Japan,All travelers permitted to enter Japan must carry proof of a negative nucleic acid amplification test (NAAT) result issued no more than 72 hours prior to departure.,All travelers (including business travelers) must obtain a valid visa prior to departure. All travelers (including Japanese nationals) must sign and submit a Written Pledge when entering Japan. Travelers must also submit an online Questionnaire and must install the MySOS mobile application.,Masks are required in most public spaces.,Unvaccinated travelers must undergo a 3-day or a 7-day quarantine either at home or at a designated location. Quarantine duration and location depends on the traveler's pre-departure COVID-19 test result.,Not required,Travelers who carry proof they have completed a full vaccination regimen using a COVID-19 vaccine recognized by Japanese authorities are exempt from quarantine requirements provided they also carry a negative pre-departure COVID-19 test result.
85,Jordan,Not required,Required,"Mask is required in all public indoor, public transport and certain outdoor areas",Not required,Required,Not required
86,Kazakhstan,Not Required,Not required,Mask is required in certain public indoor areas,Not required,Not required,Not required
87,Kenya,A negative PCR test result obtained within 72 hours prior to departure advised,Required,Not required,May be required if a positive test result is received on arrival,Not required,Not required
88,Kuwait,Not Required,Not required,Not required,Not required,Not required,Not required
89,Kyrgyzstan,Not Required,Not required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Not required,Not required
90,Laos,Unvaccinated travelers must carry proof of a negative result for COVID-19 issued no more than 48 hours prior to departure using a Rapid Antigen Test.,All travelers must register online using the Lao Green Pass system prior to departure and obtain a QR Code necessary when boarding transportation bound for Laos. All travelers must install the LaoKYC mobile application.,Masks are required on public transportation and in most public venues.,Not required,Not required,Travelers who carry proof they have completed a full vaccination regimen at least 14 days prior to their intended departure using a COVID-19 vaccine recognized by Lao authorities are exempt from pre-departure testing requirements.
91,Latvia,Not Required,Not required,Mask is required on public transport and in certain indoor areas,Not required,Not required,Not required
92,Lebanon,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
93,Lesotho,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
94,Liberia,Not required,Not required,"Mask is required in all public indoor, public transport and certain outdoor areas",Not required,Not required,Required
95,Libya,A negative PCR test obtained within 72 hours prior to arrival is required.,Not required,Not required,10 days required. Quarantine may end after a negative day 5 rapid or RT-PCR test.,Not required,Not required
96,Lithuania,Not Required,Not required,Mask is required on public transport and in certain indoor areas,Not required,Not required,Not required
97,Luxembourg,Not Required,Not required,Mask is required in certain indoor areas,Not required,Not required,Required
98,Macau,All travelers must carry proof of a negative nucleic acid test result for COVID-19 issued no more than 48 hours prior to departure.,All travelers must submit a health declaration form and obtain a QR code for use during arrival. Travelers previously infected with COVID-19 must carry a certificate of recovery proving that at least two months have passed since their initial positive test result.,Masks are required during travel and in most public venues.,All travelers must undergo either a 21-day or a 28-day quarantine and 7 days of additional health self-management.,Not required,All travelers 12 years of age or older must have proof they have completed a full vaccination regimen at least 14 days and no more than 7 months prior to departure using a COVID-19 vaccine recognized by local authorities.
99,Madagascar,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
100,Mainland China,All travelers must have proof of at least one negative test result for COVID-19. Required testing types and validity periods vary by departure location and travel history.,All travelers must complete an online Health Declaration Form. Forms are valid for 24 hours following completion.,"Masks are required on public transportation, in government offices, and in many private businesses.",7 days collective quarantine + 3 days home health monitoring,Not required,Not required
101,Malawi,Negative RT-PCR digital test certificate obtained within 72 hours prior to arrival required,Not required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Not required,Not required
102,Malaysia,Not required,Travellers can download and activate the  MySejahtera application before or after arrival to Malaysia to indicate their COVID-19 risk status while staying in Malaysia.,Masks are required in all indoor public venues.,Not required,Not required,Not required
103,Maldives,Not required,Required,Not required,Not required,Not required,Not required
104,Mali,Negative PCR test result tested within 72 hours prior to arrival is required,Not required,Not required,Not required,Not required,Not required
105,Malta,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
106,Marshall Islands,Not required,Required,Not required,May be required if a positive test result is received on arrival,Not required,Required
107,Mauritania,Negative PCR test obtained within 72 hours prior to arrival required,Required,"Mask is required in all public indoor, public transport and certain outdoor areas",May be required if a positive test result is received on arrival,Not required,Not required
108,Mauritius,Not required,Required,"Mask is required in all public indoor, public transport and certain outdoor areas",Not required,Not required,Not required
109,Mexico,Not required,Not required,Mask is required in some regions and areas of the country,Not required,Not required,Not required
110,Micronesia,Negative Covid-19 test obtained within 72 hours prior to departure required,Not required,"Mask is required in all public indoor, public transport and all outdoor areas",May be required if a positive test result is received on arrival,Not required,Required
111,Moldova,Not required,Not required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Not required,Not required
112,Monaco,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
113,Mongolia,Not Required,Not required,"Mask is required in all public indoor, public transport and certain outdoor areas",Not required,Not required,Not required
114,Montenegro,Not Required,Not required,Mask is required in public indoor areas and public transport,Not required,Not required,Not required
115,Morocco,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
116,Mozambique,Negative PCR test tested within 72 hours prior to departure is required,Not required,Mask is required in all public indoor and outdoor areas,May be required if a positive test result is received on arrival,Not required,Not required
117,Myanmar,Negative PCR test tested within 48 hours prior to arrival required,Required,"Mask is required in all public indoor, public transport and all outdoor areas",May be required if a positive test result is received on arrival,Not required,Required
118,Namibia,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
119,Nepal,Negative Covid-19 test obtained within 72 hours prior to departure required ,Not required,Mask is required in some regions,Not required,Not required,Not required
120,Netherlands,Not required,Not required,Masks are required on public transportation and in some public spaces.,Not required,Not required,Not required
121,New Zealand,All travelers permitted to enter must undergo a rapid antigen test (RAT) within 24 hours of arrival and a second RAT on Day 5/6 following their arrival. These will be provided at the airport.,All travelers permitted to enter must complete a New Zealand Traveller Declaration form prior to departure. Travelers will receive a New Zealand Traveller Pass for use when boarding transportation bound for New Zealand.,Masks are required on public transportation and in most indoor public spaces.,Not required,Not required,All travelers permitted to enter must have proof they have completed a full vaccination regimen using a COVID-19 vaccine approved for use by a government health authority or approval authority.
122,Nicaragua,"Negative RT-PCR test result obtained within 72 hours prior to arrival or within 92 hours prior to arrival for passengers travelling from Africa, Asia, or Oceania required",Required,Mask is required in public indoor areas,Not required,Not required,Not required
123,Niger,Negative PCR test tested within 72 hours prior to arrival is required,Not required,"Mask is required in public indoor, public transport and certain outdoor areas",Not required,Not required,Not required
124,Nigeria,Negative PCR test tested within 48 hours prior to departure is required,Required,"Mask is required on all flights, public indoor areas and public transport.",7 days at home required,Not required,Not required
125,North Macedonia,Not Required,Not required,Mask is required in all public indoor and public transport,Not required,Not required,Not required
126,Norway,Not Required,Not required,Not required,Not required,Not required,Not required
127,Oman,Not Required,Not required,"Required
",Not required,Not required,Not required
128,Pakistan,Negative PCR test obtained within 72 hours prior to departure required,Required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Not required,Required
129,Palau,Not required,Required,Mask is recommended in public indoor and certain outdoor areas,May be required if a positive test result is received on arrival,Not required,Required
130,Palestine,Not required,Not required,"Mask is required in all public indoor, public transport and certain outdoor areas",Not required,Not required,Not required
131,Panama,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
132,Papua New Guinea,Not required,Not required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Not required,Required
133,Paraguay,Negative LAMP/NAAT/RT-PCR test obtained within 72 hours prior to departure required,Not required,"Mask is required in all public indoor, public transport and some outdoor areas",Not required,Not required,Not required
134,Peru,A negative PCR test result issued within 48 hours is required ,Required,"Double masks must be worn by all passengers, plastic shields are recommended",May be required if a positive test result is received on arrival,Not required,Not required
135,Philippines,"All travelers must carry proof of a negative test result for COVID-19 issued no more than 48 hours prior to departure using an RT-PCR test, or no more than 24 hours prior to departure using a professionally administered antigen test.",All travelers must submit an electronic Health Declaration Card no more than 72 hours prior to departure.,Masks are required in public spaces.,"Unvaccinated Filipino nationals authorized to return from abroad must undergo a 14-day quarantine upon arrival, no less than 5 days of which must be spent in a designated facility.",Not required,Foreign nationals 12 years of age or older must have proof they have completed a full vaccination regimen using a COVID-19 vaccine approved for emergency use by the World Health Organization (WHO).
136,Poland,Not Required,Not required,Not required,Not required,Not required,Not required
137,Portugal,"Unvaccinated travelers must carry proof of a negative result for COVID-19 issued no more than 72 hours prior to departure using a nucleic acid amplification test (NAAT), or no more than 24 hours prior to departure using a laboratory performed rapid antigen test.",Not required,Masks are required on public transportation and in some public venues.,Not required,Not required,Travelers who carry proof they have completed a full vaccination regimen using a COVID-19 vaccine approved for emergency use by the World Health Organization (WHO) are exempt from pre-departure testing requirements.
138,Qatar,"Passengers must either hold a negative PCR test result obtained within 48 hours prior to departure, or a Rapid Antigen Test (RAT) obtained within 24 hours prior to departure",Required,"Mask is required in all public indoor, public transport and all outdoor areas",May be required if a positive test result is received on arrival,Not required,Not required
139,Republic of the Congo,Negative PCR test certificate obtained within 48 hours prior to departure required,Not required,"Required
",Not required,Not required,Not required
140,Romania,Not Required,Not required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Not required,Not required
141,Russia,Negative PCR test tested within 2 days prior to arrival is required,Not required,Masks are required in some regions and areas of the country,Not required,Not required,Not required
142,Rwanda,Not required,Not required,"Required
",Not required,Passengers are advised to hold international travel insurance,Not required
143,Saint Kitts and Nevis,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
144,Saint Lucia,Not required,Required,"Mask is required in all public indoor, public transport and certain outdoor areas",Not required,Not required,Not required
145,Saint Vincent and the Grenadines,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
146,Samoa,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
147,Sao Tome and Principe,A negative antigen test obtained within 48 hours prior to departure or a PCR test obtained within 72 hours prior to departure required,Required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required ,Not required ,Not required 
148,Saudi Arabia,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
149,Senegal,Negative PCR test within 72 hours prior to departure is required,Not required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Not required,Not required
150,Serbia,Not Required,Not required,Mask is required in all public indoor areas and public transport,Not required,Not required,Not required
151,Seychelles,Negative PCR test tested within 72 hours prior to departure required,Required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Required,Not required
152,Sierra Leone,Negative PCR test result obtained within 72 hours prior to departure required for unvaccinated passengers,Required,"Mask is required in all public indoor, public transport and all outdoor areas",Quarantine required until on arrival results received,Not required,Not required
188,Singapore,"Unvaccinated travelers authorized to enter Singapore must carry proof of a negative result for COVID-19 issued no more than 2 days prior to departure using a PCR test, a professionally-administered Antigen Rapid Test (ART), or a self-administered ART that is remotely supervised by an ART provider in Singapore.",All travelers authorized to enter Singapore must submit a  with an electronic health declaration no more than 3 days prior to departure.,Masks are not required except in certain public venues such as healthcare facilities.,Not required,"Unvaccinated and partially vaccinated short-term visitors authorized to enter Singapore must have proof of medical insurance valid for use in Singapore for the entire duration of their stay with a minimum coverage amount of at least S$30,000.","Travelers who carry proof they have completed a full vaccination regimen using a COVID-19 vaccine approved for use by the World Health Organization (WHO) are exempt from the ban on entry and from pre-departure testing, quarantine, and insurance requirements."
153,Sint Maarten,A negative RT-PCR test result obtained within 48 hours prior to departure or a negative antigen test obtained within 24 hours prior to departure required,Required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Required,Not required
154,Slovakia,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
155,Slovenia,Not Required,Not required,Not required,Not required,Not required,Not required
156,Solomon Islands,Negative PCR test obtained within 72 hours prior to departure required,Not required,Not required,7 days may be required,Not required,Required
157,South Africa,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
158,South Korea,Not required,Travelers exempt from quarantine must install and use the Self-Check Mobile App. Travelers subject to quarantine must submit their information using the Advance Input System for Quarantine Information prior to departure.,Masks are required on public transportation and in most public venues.,Not required,Not required,Not required
159,Spain,"Unvaccinated travelers must have proof of a negative nucleic acid amplification test (NAAT) result for COVID-19 issued no more than 72 hours prior to departure, or a negative antigen test result issued no more than 24 hours prior to departure.",All travelers must submit a Health Control Form (FCS) online no more than 48 hours prior to departure and obtain a QR code necessary when boarding transportation bound for Spain.,"Masks are required on public transportation, in indoor public spaces, and at large outdoor events.",Not required,Not required,Travelers who carry proof they have completed a full vaccination regimen using a COVID-19 vaccine approved for emergency use by the World Health Organization (WHO) are exempt from pre-departure testing requirements.
160,Sri Lanka,Negative PCR test certificate tested within 72 hours prior to departure or a negative Rapid Antigen test certificate obtained within 48 hours prior to departure required,Not required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Not required,Not required
161,Suriname,Negative PCR test obtained within 48 hours or a negative antigen test obtained within 24 hours prior to departure required,Not required,Not required,Not required,Non-residents of Suriname must hold travel insurance that covers Covid-19.,May be required
162,Sweden,Not Required,Not required,Not required,Not required,Not required,Not required
163,Switzerland,Not required,Travelers who carry a passport that requires a visa to enter Switzerland must obtain a valid visa.,Not required,Not required,Not required,Not required
164,Syria,Negative PCR test tested within 96 hours prior to departure is required ,Not required,"Mask is required in all public indoor, public transport and certain outdoor areas",Not required,Not required,Not required
165,Taiwan,All travelers must carry proof of a negative reverse transcription polymerase chain reaction (RT-PCR) test result issued no more than 2 days prior to departure.,All travelers must submit a health declaration form prior to departure using the online Quarantine System for Entry.,Masks are required on public transportation and in most public venues.,Not required,Not required,Not required
166,Tajikistan,Negative PCR test within 72 hours prior to arrival is required,Not required,Mask is required in public areas and all public transport ,Not required,Not required,Not required
167,Tanzania,Negative PCR test obtained within 72 hours prior to arrival is required,Not required,Not required,May be required if a positive test result is received on arrival,Not required,Not required
168,Thailand,Not required,"Not required
",Masks are required on public transportation and in public venues.,Unvaccinated and partially vaccinated travelers must undergo a 5-day quarantine and an additional RT-PCR test on Day 5 following their arrival. This policy does not apply to unvaccinated and partially vaccinated travelers who carry proof of a negative RT-PCR test result issued no more than 72 hours prior to their initial departure.,Not required,Travelers who carry proof they have completed a full vaccination regimen using a COVID-19 vaccine approved for emergency use by the World Health Organization (WHO) are exempt from pre-departure testing and quarantine requirements.
169,Timor-Leste,Negative PCR test obtained within 5 days prior to arrival required ,Not required,"Mask is required in all public indoor, public transport and certain outdoor areas",14 days required,Not required,Not required
170,Togo,Negative PCR test within 5 days prior to departure is required,Required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,"Passengers are advised to hold medical, travel or international health insurance",Not required
171,Tonga,A negative supervised rapid antigen test (RAT) result obtained within 24 hours prior to departure required,Required,Mask is required in public indoor and certain outdoor areas,May be required if a positive test result is received on arrival,Insurance is advised,Required
172,Trinidad and Tobago,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions,No restrictions
173,Tunisia,Negative RT-PCR test obtained within 72 hours prior to departure or a negative rapid antigen test obtained within 24 hours prior to departure required,Not required,"Mask is required in all public indoor, and public transport",Not required,Not required,Not required
174,Türkiye,Not required,Not required,Not required,Not required,Not required,"Not required
"
175,Uganda,Negative PCR test result issued within 72 hours prior to travel required,Not required,"Mask is required in all public indoor, public transport and all outdoor areas",Not required,Not required,Required
176,Ukraine,Negative PCR or rapid antigen test (RAT) result obtained within 72 hours prior to arrival required,Required,Mask is required in all public indoor areas and on public transport,10 days required,Required,Not required
177,United Arab Emirates,Negative PCR test tested within 48 hours prior to departure is required,Required,All passengers must wear a mask in the airport and during their flight,Not required,Required unless arriving at Abu Dhabi International Airport (AUH),Not required
178,United Kingdom,Not required,Not required,Not required,Not required,Not required,Not required
179,United States,Not required,Not required,Not required,All travelers must submit a Combined Passenger Disclosure and Attestation to the United States form.,"Recommended in all public indoor, public transport and outdoor areas",Mask mandates vary by state and locality. Masks are required inside some private businesses.
180,United States,Not required,Not required. All travelers are encouraged to self-isolate for 7 days and to undergo testing for COVID-19.,Not required,Not required,Required,Foreign nationals must have proof they completed a full vaccination regimen using a COVID-19 vaccine approved for emergency use by the World Health Organization (WHO).
