name,address,vaccine
1 Bishan Medical Clinic,"283 Bishan Street 22, #01-191, Singapore 570283",Pfizer /Comirnaty (Adults & Children aged 5 to 11 years)
Martin Medical Centre,"111 Woodlands Street 13 #01-80, Singapore 730111",Pfizer /Comirnaty (Children aged 5 to 11 years)
Northeast Medical Group (Bukit Batok),"10 Bukit Batok Central, Bukit Batok MRT Station, #01-01, Singapore 659958",Pfizer /Comirnaty (Children aged 5 to 11 years)
Northeast Medical Group (Ghim Moh),"25 Ghim Moh Link, #01-10, Singapore 270025",Pfizer /Comirnaty (Children aged 5 to 11 years)
Well Family Clinic & Surgery,"555 Ang Mo Kio Avenue 10, #01-1948, Singapore 560555",Pfizer /Comirnaty (Children aged 5 to 11 years)
Raffles Medical Clinic Holland Village,"118 Holland Avenue #05-02/03/04, Singapore 278997",Pfizer /Comirnaty
Mei Ling Clinic,"158 Mei Ling Street #01-80, Singapore 140158",Pfizer /Comirnaty
Family Medicine Clinic Chinatown,"133 New Bridge Road #02-09, Singapore 059413",Pfizer /Comirnaty
Medihealth Bishan Clinic & Surgery,"121 Bishan Street 12 #01-95, Singapore 570121",Pfizer /Comirnaty
Shenton Wellness Centre (Alexandra Retail Centre),"460 Alexandra Road, Alexander Retail Centre #02-15, Singapore 119963",Pfizer /Comirnaty
Yim Clinic,"11A Boon Tiong Road #02-03/04/05, Singapore 161011",Pfizer /Comirnaty
A Medical Clinic,"1 Everton Park #01-27, Singapore 081001",Pfizer /Comirnaty
Raffles Medical Clinic Raffles City Shopping Centre,"252 North Bridge Road, Raffles City Shopping Centre #02-17, Singapore 179103",Pfizer /Comirnaty
Raffles Medical Clinic Raffles Hospital,"585 North Bridge Road Level 2 Raffles Hospital, Singapore 188770",Pfizer /Comirnaty
The Tenteram Clinic,"116B Jalan Tenteram #01-549, Singapore 322116",Pfizer /Comirnaty
Trucare Medical & Surgery (AMK),"226A Ang Mo Kio Avenue 1 #01-631 Kebun Baru Mall, Singapore 561226",Pfizer /Comirnaty
Fraser Medical Centre,"78A Telok Blangah Street 32 #01-07, Singapore 101078",Pfizer /Comirnaty
Assurance Medicare Clinic & Surgery,"370 Tanjong Katong Road, Singapore 437127",Pfizer /Comirnaty
Healthify Medical Family Clinic,"262 Balestier Road, OKIO #01-04, Singapore 329714",Pfizer /Comirnaty
Northeast Medical Group,"22 Malacca Street, RB Capital Building #13-03, Singapore 048980",Pfizer /Comirnaty
Marine Parade Clinic,"59 Marine Terrace #01-81, Singapore 440059",Pfizer /Comirnaty
Acacia Medical Clinic,"180 Depot Road, The Interlace #01-07, Singapore 109684",Pfizer /Comirnaty
Chung & Ee Medical Clinic,"10 Telok Blangah Cres #01-151, Singapore 090010",Pfizer /Comirnaty
Healthway Medical,"10 Sinaran Drive, Novena Medical Center #09-36, Singapore 307506",Pfizer /Comirnaty
Pinnacle Family Clinic (River Valley),"240 River Valley Road, Singapore 238297",Pfizer /Comirnaty
OneCare Medical Clinic Marine Parade,"81 Marine Parade Central #01-644, Singapore 440081",Pfizer /Comirnaty
Healthcare Family Clinic & Surgery,"403 Sin Ming Avenue #01-311, Singapore 570403",Pfizer /Comirnaty
"Drs. Koo, Koh and Associates","163 Bukit Merah Central, #1-3609 Singapore 150163",Pfizer /Comirnaty
Elyon Family Clinic & Surgery Pte Ltd,"78B Telok Blangah Street 32, #1-22 Singapore 102078",Pfizer /Comirnaty
Healthplus Family Clinic & Surgery,78A Telok Blangah Street 32 #1-2 Singapore 101078,Pfizer /Comirnaty
M Lam Clinic,"739 Geylang Road, Singapore 389649",Pfizer /Comirnaty
Mei Ling Clinic (Toa Payoh),"500 Lor 6 Toa Payoh, BIZ ONE HDB Hub #04-33, Singapore 310500",Pfizer /Comirnaty
Health Link Medical Clinic & Surgery,"5 Upper Aljunied Lane #01-46, Singapore 360005",Pfizer /Comirnaty
Binjai Medical & Paincare Clinic,"23 Binjai Park, Singapore 589828",Pfizer /Comirnaty
Tay Clinic,"494 Geylang Road, Singapore 389452",Pfizer /Comirnaty
Edgedale Medical Clinic (Cambridge),"40 Cambridge Road #01-115, Singapore 210040",Pfizer /Comirnaty
T P Sim Family Clinic & Surgery,"509 Bishan Street 11, #01-378, Singapore 570509",Pfizer /Comirnaty
Soong Clinic & Surgery,"162 Mei Ling Street #01-353, Singapore 140162",Pfizer /Comirnaty
Newcastle Clinic,"541 Orchard Road, Liat Towers #14-02, Singapore 238881",Pfizer /Comirnaty
The Medical Clinic Pte. Ltd.,"63 Chulia Street, OCBC Centre East #01-02, Singapore 049514",Pfizer /Comirnaty
Ko Family Clinic,"18 Upper Boon Keng Road #01-1133, Singapore 380018",Pfizer /Comirnaty
Parklane Medical Centre,"35 Selegie Road, Parklane Shopping Mall #02-25A, Singapore 188307",Pfizer /Comirnaty
King George's Medical Clinic,"803 King George's Avenue #01-144, Singapore 200803",Pfizer /Comirnaty
FAITH Clinic (Toa Payoh),"211 Lorong 8 Toa Payoh #01-19, Singapore 310211",Pfizer /Comirnaty
Arcadia Clinic,"2 Pandan Valley #01-211, Singapore 597626",Pfizer /Comirnaty
Good Shepherd Family Clinic,"9 Jalan Kukoh #01-81, Singapore 160009",Pfizer /Comirnaty
New Health Family Clinic,"108 Depot Road #01-08, Singapore 100108",Pfizer /Comirnaty
T Medical Clinic (Kallang),"5 Upper Boon Keng Road #01-14, Singapore 380005",Pfizer /Comirnaty
Chang Clinic & Surgery,"7 Everton Park #01- 21, Singapore 080007",Pfizer /Comirnaty
Dr Gary's Family Clinic,"77 Indus Road #01-519, Singapore 160077",Pfizer /Comirnaty
Family Health Clinic & Surgery,"2 Balestier Road #01-651, Singapore 320002",Pfizer /Comirnaty
Healthsprings Medical & Laser Clinic (Bidadari/Woodleigh),"105A Bidadari Park Drive #01-09, Singapore 341105",Pfizer /Comirnaty
Healthsprings Medical Clinic (Liat Towers),"541 Orchard Road, Liat Towers #10-02, Singapore 238881",Pfizer /Comirnaty
Integrated Wellness Clinic,"8 Sinaran Drive, Specialist Center #05-04, Singapore 307470",Sinovac
Central Medical Group Pte Ltd,11 Jalan Bukit Merah #01-4442 Singapore 150011,Sinovac
Precious Medical Centre Pte Ltd,"290 Orchard Road, The Paragon #12-01, Singapore 238859",Sinovac
Our Woodleigh Family Clinic,"115B Alkaff Crescent #01-05, Singapore 342115",Sinovac
Shenton Medical Group (Toh Yi),"18 Toh Yi Drive #01-103 , Singapore 590018",Sinovac
Marina Medical Centre (Tiong Bahru),"78 Guan Chuan Street #01-39, Singapore 160078",Sinovac
Providence Clinic @ Novena,"1 Goldhill Plaza #01-29, Singapore 308899",Sinovac
A Life Clinic Pte Ltd,"10 Sinaran Drive, Novena Medical Center #09-21, Singapore 307506",Sinovac
Lim Clinic & Surgery,"109 Lorong 1 Toa Payoh, #01-312, Singapore 310109",Sinovac
Pacific Family Clinic,"75D Redhill Road, #01-116, Singapore 154075",Sinovac
Dover Medical Centre,"1 Fusionopolis Way,Connexis #03-05, Singapore 138632",Sinovac
57 Medical Clinic (Geylang Bahru),"57 Geylang Bahru #01-3505, Singapore 330057",Sinovac
Braddell Medical Clinic,"124 Lorong 1 Toa Payoh #01-489, Singapore 310124",Sinovac
Advantage Medical Clinic,"1 Fifth Ave, Guthrie House 03-12, Singapore 268802",Sinovac
Lily Neo Clinic Pte Ltd,"101 Irrawaddy Road, Royal Square Medical Centre #21-09, Singapore 329565",Sinovac
EJ Family Clinic,109 Lorong 1 Toa Payoh #01-314 Singapore 310109,Novavax
Belief Family Clinic,"541 Kallang Bahru, Geylang Bahru MRT Station #B1-02b, Singapore 339355",Novavax
Pulse Clinic Pte Ltd,"38 Beo Crescent, The Beo Crescent #01-32, Singapore 160038",Novavax
Physicians Practice Family Medical Center,"101 Thomson Road, United Square #01 - 17, Singapore 307591",Novavax
Sims Drive Medical Clinic,"53 Sims Place, Sims Vista #01-174 Singapore 380053",Novavax
The iClinic,"18 Jalan Membina #02-07, Singapore 164018",Novavax
Advantage Medical Clinic (Geylang East),"125 Geylang East Avenue 1, Geylang East Grove #01-K1, Singapore 381125",Novavax
My Family Clinic (Toa Payoh Central),"79D Toa Payoh Central #01-53, Singapore 314079",Novavax
Plushealth Medical Clinic & Surgery,"89 Whampoa Drive, #01-841, Singapore 320089",Novavax
Everwell Clinic & Surgery,"45 Owen Rd #01-289, Singapore 210045",Novavax
The Family Clinic @ Towner,"101 Towner Road #01-202, Singapore 322101",Novavax
Lee Clinic,"123 Bedok North Street 2 #01-156, Singapore 460123",Pfizer /Comirnaty
Northeast Medical Group (Simei),"30 Simei Street 3, #02-01 Simei MRT Station, Singapore 529888",Pfizer /Comirnaty
Central 24-Hr Clinic,"446 Pasir Ris Drive 6 #01-122, Singapore 510446",Pfizer /Comirnaty
Northeast Medical Group (Tampines),"20 Tampines Central 1 #01-25 Tampines MRT Station, Singapore 529538",Pfizer /Comirnaty
Bedok Medical Centre,"18 Bedok South Road #01-57, Singapore 460018",Pfizer /Comirnaty
Yang & Yap Clinic & Surgery,"537 Bedok North Street 3 #01-571, Singapore 460537",Pfizer /Comirnaty
Joy Family Clinic,"703 Bedok Reservior Road #01-3506, Singapore 470703",Pfizer /Comirnaty
Dayspring Medical Clinic (Tampines),"2 Tampines Central 5 #04-09 Century Square, Singapore 529509",Pfizer /Comirnaty
SATA CommHealth Bedok Medical Centre,"351 Chai Chee Street, SATA CommHealth Building, Singapore 468982",Pfizer /Comirnaty
Faith Medical Clinic & Surgery,"487C Tampines Street 45, #B1-103, Singapore 522487",Pfizer /Comirnaty
Karri Family Clinic,"866A Tampines Street 83, Tampines Central Community Complex #03-05, Singapore 521866",Pfizer /Comirnaty
Bedok Clinic & Sugery (Family Medical Centre),"17 Bedok South Road, #1-565 Singapore 460017",Pfizer /Comirnaty
Edgedale Medical Clinic (Tampines),"614 Tampines North Drive 1, #01-01, Singapore 520614",Pfizer /Comirnaty
Kindred Family Clinic (Tampines),"494 Tampines Street 45, #01-02, Singapore 523494",Pfizer /Comirnaty
ProHealth Medical Group@Tampines,"610 Tampines North Drive 1, Tampines GreenWeave #01-03, Singapore 520610",Pfizer /Comirnaty
SM Haneefa Clinic,"11 Chai Chee Road, #01-23, Singapore 460011",Pfizer /Comirnaty
Tampines Family Medicine Clinic,"1 Tampines Walk, Our Tampines Hub, #03-34, Singapore 528523",Pfizer /Comirnaty
HL Family Clinic & Surgery (Bedok) Pte. Ltd.,"89 Bedok North Street 4, #01-83, Singapore 460089",Pfizer /Comirnaty
A1 Medical Clinic,"418 Bedok North Avenue 2, #01-63, Singapore 460418",Pfizer /Comirnaty
Frontier People's Clinic @ Bedok,"123 Bedok North Street 2, #01-152, Singapore 460123",Pfizer /Comirnaty
Jubilee Family Physicians,"258 Pasir Ris Street 21, Loyang Point #02-16, Singapore 510258",Pfizer /Comirnaty
Sennett Medical Clinic,"55 Siglap Road, Siglap Centre #B1-10, Singapore 455871",Pfizer /Comirnaty
Viva Medical Clinic,"450A Tampines Street 42, #01-356, Singapore 521450",Pfizer /Comirnaty
Yoong Family Clinic & Surgery,"333 Tampines Street 32, #01-536, Singapore 520333",Pfizer /Comirnaty
Pasir Ris Clinic & Surgery Pte Ltd,"442 Pasir Ris Drive 6 #01-28, Singapore 510442",Pfizer /Comirnaty
FAITH Clinic (Simei),"139 Simei Street 1 #01-10, Singapore 520139",Pfizer /Comirnaty
Little Cross Family Clinic,"929 Tampines Street 91 #01-445, Singapore 520929",Sinovac
Kai Medical Clinic,"5 Tampines Street 32, Tampines Mart #02-05, Singapore 529284",Sinovac
FAITH Family Clinic,"57 Marine Terrance, #01-113, Singapore 440057",Sinovac
FAITH Clinic (Bedok),"746 Bedok Reservoir Road,#01-3013, Singapore 470746",Sinovac
Central 24-HR Clinic (Bedok),"219 Bedok Central, #01-124, Singapore 460219",Sinovac
HeartlandHealth (Bedok South),"18 Bedok South Road #01-69, Singapore 460018",Sinovac
FAITH Healthcare (Tampines),"11 Tampines Street 32, Tampines Mart #01-11, Singapore 529287",Sinovac
Lian Clinic,"18 Marsiling Lane, Singapore 730018",Pfizer /Comirnaty
EH Medical,"785E Woodlands Rise #01-12, Singapore 735785",Pfizer /Comirnaty
Frontier Medical Associates Yishun,"654 Yishun Avenue 4 #01-437, Singapore 760654",Pfizer /Comirnaty
Acumed Medical (Woodlands),"111 Woodlands Street 13 #01-78, Singapore 730111",Pfizer /Comirnaty
OneCare Medical Clinic (Yishun),"431 Yishun Avenue 1 #01-04, Singapore 760431",Pfizer /Comirnaty
Parkway Shenton Medical Group (Yishun),"598 Yishun Ring Road #B1-09, Singapore 768698",Pfizer /Comirnaty
SATA CommHealth Woodlands Medical Centre,"900 South Woodlands Drive #04-01 Civic Centre, Singapore 730900",Pfizer /Comirnaty
Frontier Medical Associates,"899C, Woodlands Drive 50 #01-296, Singapore 732899",Pfizer /Comirnaty
Royal Care Medical Clinic Yishun Junction 9,"317 Yishun Avenue 9, HDB Multi-Storey Carpark #01-03, Singapore 760317",Pfizer /Comirnaty
United Health Family Clinic & Surgery,"627 Yishun Street 61 #01-63, Singapore 760627",Pfizer /Comirnaty
FAITH Clinic (Yishun),"598 Yishun Ring Road, Wisteria Mall #01-11, Singapore 768698",Pfizer /Comirnaty
T Medical Clinic (Canberra),"115 Canberra Walk #01-05, Singapore 750115",Pfizer /Comirnaty
Viva Medical Group (Canberra Plaza),"133 Canberra View, Canberra Plaza #02-14, Singapore 750133",Pfizer /Comirnaty
BestMed Family Clinic & Homecare,"126 Canberra Street, Multistorey Park, #01-04, Singapore 750126",Sinovac
Central 24-HR Clinic (Yishun),"701A Yishun Ave 5, #01-04, Singapore 761701",Sinovac
Central 24-HR Clinic (Woodlands),"768 Woodlands Avenue 6, #02-06A, Singapore 730768",Sinovac
Norwood Medical Clinic,"785E Woodlands Rise #01-02, Singapore 735785",Novavax
Etern Medical Clinic,"70 Pungol Centre (Punggol MRT Station), #01-05, Singapore 828868",Pfizer /Comirnaty
Northeast Medical Group (Sengkang),"5 Sengkang Square, Singapore 545062",Pfizer /Comirnaty
Mission Medical Clinic,780 Upper Serangoon Road #01-01 Singapore 534649,Pfizer /Comirnaty
Shenton Medical Group (Buangkok),"10 Sengkang Central, #01-04 Buangkok NEL MRT Station, Singapore 545061",Pfizer /Comirnaty
Pancare Medical Clinic,"133 Ang Mo Kio Avenue 3 #01-1643, Singapore 560133",Pfizer /Comirnaty
Excel Family Clinic,"21 Hougang Street 51 #01-06 Hougang Green Shopping Mall, Singapore 538719",Pfizer /Comirnaty
Parkway Shenton Medical Group (Kovan),"205 Hougang Street 21 #03-20 Heartland Mall, Singapore 530205",Pfizer /Comirnaty
HK Family Clinic & Surgery,"410 Ang Mo Kio Avenue 10 #01-817, Singapore 560410",Pfizer /Comirnaty
Intemedical (Kovan),"210 Hougang Street 21 #01-233, Singapore 530210",Pfizer /Comirnaty
Medlife Clinic & Surgery,"684 Hougang Ave 8 #01-985, Singapore 530684",Pfizer /Comirnaty
STAT Medical Clinic @ Hougang,"311 Hougang Avenue 5 #01-183, Singapore 530311",Pfizer /Comirnaty
Phoenix Medical Group,"1 Seletar Rd, Greenwich V #02-11, Singapore 807011",Pfizer /Comirnaty
SATA CommHealth Community Hub,"447B Jalan Kayu #01-01, Singapore 79244",Pfizer /Comirnaty
Healthway Medical,"330 Ang Mo Kio Ave 1 #01-1803, Singapore 560330",Pfizer /Comirnaty
Pinnacle Family Clinic (Compassvale),"289C Compassvale Cres #01-04, Singapore 543289",Pfizer /Comirnaty
OneCare Medical Clinic Fernvale,"417 Fernvale Link #01-10, Singapore 790417",Pfizer /Comirnaty
Etern Medical Clinic (Punggol Sumang LRT),"308C Punggol Walk #01-302, 1 Waterway Terraces, Singapore 823308",Pfizer /Comirnaty
Frontier Medical Associates,"163 Ang Mo Kio Avenue 4, #01-426, Singapore 560163",Pfizer /Comirnaty
Medi Healthcare Clinic (Punggol),"218 Sumang Walk #01-02, Singapore 820218",Pfizer /Comirnaty
Healthpath Medical Clinic & Surgery,"338 Ang Mo Kio Ave 1, #01-1651, Singapore 560338",Pfizer /Comirnaty
Lifeline Punggol Medical Clinic Pte. Ltd.,"198 Punggol Field #02-03, Singapore 820198",Pfizer /Comirnaty
OneDoctors Family Clinic (Punggol),"83 Punggol Central, Waterway Point #02-17, Singapore 828761",Pfizer /Comirnaty
Frontier Medical Associates @ Buangkok,"982 Buangkok Crescent #01-03, Singapore 530982",Pfizer /Comirnaty
Trinity Medical (Punggol),"273C Punggol Place, #01-874, Singapore 828273",Pfizer /Comirnaty
RCMC Rivervale Crescent Medical Centre,"182A Rivervale Crescent #01-04, Singapore 541182",Pfizer /Comirnaty
CareDoc Medical Clinic,"215 Ang Mo Kio Avenue 1 #01-907, Singapore 560215",Pfizer /Comirnaty
Hougang Family Medicine Clinic,51 Hougang Avenue 9 #02-01 Singapore 538776,Pfizer /Comirnaty
Medivene Clinic & Surgery,"330 Anchorvale Street #01-05, Singapore 540330",Pfizer /Comirnaty
Family Medicare Clinic & Surgery,"721 Ang Mo Kio Avenue 8, #01-2815, Singapore 560721",Pfizer /Comirnaty
Island Family Clinic (Seletar),"455 Sengkang West Avenue #01-14, Singapore 790455",Pfizer /Comirnaty
Punggol Family Clinic Pte Ltd,"322 Sumang Walk #01-03, Singapore 820322",Pfizer /Comirnaty
Affinity Medical Clinic,"253 Serangoon Central Drive #01-187, Singapore 550253",Pfizer /Comirnaty
ProHealth Medical Group@Hougang,"476D Upper Serangoon View #02-04, Singapore 537476",Pfizer /Comirnaty
SATA CommHealth Ang Mo Kio Medical Centre,715 Ang Mo Kio Avenue 6 #01-4008 & 4010 Singapore 560715,Sinovac
Lifeline Medical Group,"118 Rivervale Drive, Rivervale Plaza # #02-18, Singapore 540118",Sinovac
Edgedale Medical Clinic,"122A Edgedale Plains, #01-187, Singapore 821122",Sinovac
Etern Medical Clinic (Fernvale Palm),"432A Sengkang West Way, Fernvale Palms #01-03, Singapore 791432",Sinovac
FAITH Healthcare (Rivervale) Clinic,"11 Rivervale Crescent, Rivervale Mall #02-15, Singapore 545082",Sinovac
Premier Clinic and Surgery,"631 Ang Mo Kio Avenue 4 #01-936, Singapore 560631",Sinovac
Q & M Medical Clinic (Buangkok MRT) Pte Ltd,"10 Sengkang Central, Buangkok MRT Station #01-02, Singapore 545061",Novavax
Suncare Medical Clinic (Sengkang West),"455 Sengkang West Avenue, Multi Storey Car Park #01-08, Singapore 790455",Novavax
Island Family Clinic (Sengkang),"279 Sengkang East Avenue #01-05, Singapore 540279",Novavax
ProHealth Medical Group @Punggol North Shore,"408 Northshore Drive, Northshore Plaza #01-26, Singapore 820408",Novavax
Prohealth Medical Group @Punggol Spectra,"622D Punggol Central #01-02, Singapore 824622",Novavax
EJ Tan Clinic and Surgery,"104 Jurong East Street 13 #01-100, Singapore 600104",Pfizer /Comirnaty
Acumed Medical Group Jurong Point,"1 Jurong West Central 2, #B1A-19E, Jurong Point Shopping Centre, Singapore 648886",Pfizer /Comirnaty
Frontier Family Medicine Clinic,"3151 Commonwealth Avenue West #04-01 Grantral Mall, Singapore 129581",Pfizer /Comirnaty
Tayka Medical Family Clinic,"526 Jurong West Street 52 #01-323, Singapore 640526",Pfizer /Comirnaty
Acumed Medical (Taman Jurong),"64 Yung Kuang Road #01-107/11, Singapore 610064",Pfizer /Comirnaty
Keat Hong Family Medicine Clinic,"2 Choa Chu Kang Loop, #03-02 Keat Hong Community Club, Singapore 689687",Pfizer /Comirnaty
EH Medical Family Clinic (Bukit Batok),"292 Bukit Batok East Avenue 6 #01-07, Singapore 650292",Pfizer /Comirnaty
Central 24-HR Clinic (Jurong West),"492 Jurong West Street 41 #01-54, Singapore 640492",Pfizer /Comirnaty
SATA CommHealth Jurong Medical Centre,"135 Jurong Gateway Road #04-345, Singapore 600135",Pfizer /Comirnaty
MYHEALTH Medical Centre,"501 West Coast Drive #01-256, Singapore 120501",Pfizer /Comirnaty
Frontier Medical Associates,"Blk 451 Bukit Batok West Ave 6 #1-7, Singapore 650451",Pfizer /Comirnaty
Pier Medical Centre,"725 Jurong West Ave 5 #B1-164, Singapore 640725",Pfizer /Comirnaty
Yarra Medical Clinic,"1 West Coast Drive, NeWest, #01-11, Singapore 128020",Pfizer /Comirnaty
Cashew Medical and Surgery,"445 Fajar Road, Fajar Shopping Centre #2-522, Singapore 670445",Pfizer /Comirnaty
Family Care Clinic Pte Ltd,"15 Bukit Batok West Avenue 4, #01-272, Singapore 650415",Pfizer /Comirnaty
Healthmark Pioneer Mall Clinic,"638 Jurong West Street 61, Pioneer Mall #02-08, Singapore 640638",Pfizer /Comirnaty
Healthsprings Medical Clinic (Bukit Panjang),"524A Jelapang Rd,Greenridge Shopping Centre #02-01/02, Singapore 671524",Pfizer /Comirnaty
Hisemainn Medical Clinic,"276 Jurong West Street 25 #01-06, 640276",Pfizer /Comirnaty
TC Family Clinic Pte. Ltd.,"526 Jurong West Street 52, #01-325, Singapore 640526",Pfizer /Comirnaty
FAITH Clinic (Jurong West),"762 Jurong West Street 75, Gek Poh Shopping Centre #02-256D, Singapore 640762",Pfizer /Comirnaty
Dr Stanley Peck Family Clinic,"636 Bukit Batok Central #01-06, Singapore 650636",Pfizer /Comirnaty
Prohealth 24-Hour Medical Clinic,"259 Bukit Panjang Ring Road #01-18, Singapore 671259",Pfizer /Comirnaty
Evercare Medical Clinic,"475 Choa Chu Kang Avenue 3 #02-02, Singapore 680475",Pfizer /Comirnaty
Providence Clinic @ Hillford,"182 Jalan Jurong Kechil, The Hillford, #01-65 Singapore 596152",Sinovac
West Coast Clinic & Surgery (Clementi West) Pte Ltd,"722 Clementi West Street 2 #01-162, Singapore 120722",Sinovac
Raffles Medical (only accessible via stairs),"131 Jurong Gateway Road #01-267, Singapore 600131",Sinovac
Dr. W.K. Koo & Associates P.L.,"1 Jurong West Central 2, Jurong Point Shopping Center #01-16A/B, Singapore 648886",Sinovac
Central 24-HR Clinic (Pioneer North),"959 Jurong West Street 92, #01-160, Singapore 640959",Sinovac
Pro Health Medical Group @ Taman Jurong,"399 Yung Sheng Road, Taman Jurong Shopping Centre #01-56, Singapore 610399",Sinovac
HeartlandHealth (Bukit Batok),"164 Bukit Batok Street 11 #01-152, Singapore 650164",Sinovac
"Doctors Koo, Loh & Associates","152 Yung Ho Road #B1-03, Singapore 610152",Sinovac
Loh & Loh Clinic & Surgery,"501 West Coast Drive #01-284, Singapore 120501 (Call 65303680 for enquires)",Novavax
OneCare Medical Clinic Clementi,"449 Clementi Avenue 3 #01-241, 120449",Novavax
My Family Clinic (Segar),"485 Segar Road #01-508, Singapore 670485",Novavax
